fazenda,modulo,casa_bomba,marca,pivo_numero,area_ha,vazao_m3h,potencia_cv,potencia_kw,fonte
"RDM","Módulo 02","RM6","Valley","118","150.13999999999999","694.93","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM6","Valley","119","150.34","715.9","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","120","150.34","715.9","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","121","150.34","715.9","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","122","150.13999999999999","714.95","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","123","150.34","715.9","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","124","150.13999999999999","700.65","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","125","100.79","479.95","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","126","140.57","669.39","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","127","102.43","487.76","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM6","Valley","128","140.57","669.39","175","130.50","planilha_tecnica"
"RDM","Módulo 02","RM6","Valley","129","102.43","487.76","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM6","Valley","130","150.13999999999999","714.95","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM5","Valley","131","100.1","762.67","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM5","Valley","132","100.1","762.67","200","149.14","planilha_tecnica"
"RDM","Módulo 02","RM7","Valley","133","101.12","481.52","200","149.14","planilha_tecnica"
